"platform","url","createdAt","text","media","commentCount","shareCount","likeCount","videoplayCount"
"Twitter/X","https://x.com/Fonterra/status/1781059570733080793","2024/04/18 20:37:46","We’re pleased to announce that Anna Palairet has been permanently appointed into the role of Chief Operating Officer (COO) after acting in the position since June 2023. Read more in the link below: https://t.co/JsUmBpDPKI",,0,1,8,
"Twitter/X","https://x.com/Fonterra/status/1780706675386925557","2024/04/17 21:15:29","We’re excited to team up with @SharesiesNZ  to offer farmer owners a new way to trade Fonterra Co-operative Group shares among themselves. Sharesies is a NZ-owned wealth app that helps people easily manage their shares, savings and Kiwisaver. Learn more: https://t.co/VQaw3mktvW",,0,0,3,
"Twitter/X","https://x.com/Fonterra/status/1779733284836245778","2024/04/15 04:47:35","A huge congrats to to Myfanwy Alexander, Amber Carpenter, Katrina Roberts, and Michelle Ruddell who are the Fonterra Dairy Woman of the Year award finalists 👏 

Learn more in the link below: https://t.co/cFcKskGkSm",,0,0,5,
"Twitter/X","https://x.com/Fonterra/status/1772870791626895636","2024/03/27 06:18:29","Happy International Cheese Day! 🧀 Check out some deliciously cheesy facts below 👇#InternationalCheeseDay https://t.co/qnciFsBYIu",,0,1,4,
"Twitter/X","https://x.com/Fonterra/status/1772755138056163341","2024/03/26 22:38:55","Our Kāpiti cheese range has won 21 medals in the 2024 New Zealand Cheese Awards, including ten gold, six silver, and seven bronze! 🥳
 
NZMP won six gold and Anchor added to the golden tally with two awards 🏅

Learn more here: https://t.co/2D28dOTAXa https://t.co/2t4YJmedLw",,0,0,7,
"Twitter/X","https://x.com/Fonterra/status/1771014465502474746","2024/03/22 03:22:07","Congratulations to Fonterra farmer Zayn Jones, winner of the 2024 Taranaki/Manawatu FMG Young Farmer of the Year title following two days of fierce competition at the Central Districts Field Days in Feilding. https://t.co/rsts45G3Fw",,0,0,2,
"Twitter/X","https://x.com/Fonterra/status/1770945467041673476","2024/03/21 22:47:56","Congrats to the Fonterra farmers who took home awards at the Canterbury/North Otago Dairy Industry Awards! 👏 Winners included Alan da Veiga - Share Farmer of the Year, Jaspreet Singh - Dairy Manager of the Year, and Monique Radford - Dairy Trainee of the Year. https://t.co/aRDsdnOQEZ",,0,1,3,
"Twitter/X","https://x.com/Fonterra/status/1770535994993033221","2024/03/20 19:40:50","We’ve released our FY24 interim results which show a continuation of strong earnings performance. 

Follow the link to learn more: https://t.co/0ivhUWJ079 https://t.co/KAdTVM46Ps",,0,3,12,
"Twitter/X","https://x.com/Fonterra/status/1769563092411896226","2024/03/18 03:14:52","Lots of wins over the weekend at the Dairy Industry Awards! Bay of Plenty winners included Sophia Clark &amp; Aaron Mills, George King, and Luke Feiss. Central Plateau winners included Paul &amp; Sarah Koopal, and Jessie Pope. Congrats everyone! 👏 https://t.co/eitsOgZ5Bs",,0,0,6,
"Twitter/X","https://x.com/Fonterra/status/1768103125221888043","2024/03/14 02:33:29","Congrats to last night's winners at the Waikato Dairy Industry Awards! 🏆 Logan &amp; Sian Dawson were awarded Share Farmer of the Year, Matthew Macdonald won Dairy Manager of the Year, and Kirwyn Ellis took home the Dairy Trainee of the Year award 🙌 https://t.co/zOHAErctu4",,0,0,2,
"Twitter/X","https://x.com/Fonterra/status/1767015573014331579","2024/03/11 02:31:56","Congratulations are in order for winners at the Northland Dairy Industry Awards over the weekend 🎉 Jeremy &amp; Kate Mounter took home the Share Farmer of the Year Award, Kieran McCahon won Dairy Manager of the Year, and Quinn Hewlett was awarded Dairy Trainee of the Year 🏆 https://t.co/JLZr8e1O8y",,0,0,4,
"Twitter/X","https://x.com/Fonterra/status/1765928044857118854","2024/03/08 02:30:29","Congrats to members of the Fonterra family who won awards at last night’s 2024 Auckland/Hauraki Dairy Industry Awards! Teagan Gray was awarded Dairy Manager of the Year and Emma Williamson took home the Dairy Trainee of the Year award 👏👏 https://t.co/V0apEmsHYa",,1,0,5,
"Twitter/X","https://x.com/Fonterra/status/1765926846112370723","2024/03/08 02:25:44","Happy International Women's Day to all the amazing wāhine out there 🙌

We caught up with some of the incredible women in our co-op to discuss strides towards gender equality &amp; inclusion, and their perspectives on what #InternationalWomensDay signifies.

https://t.co/3JGQixuIsL https://t.co/uv21AvfSMJ",,0,0,0,
"Twitter/X","https://x.com/Fonterra/status/1765130251716440168","2024/03/05 21:40:21","Congrats to Alvaro Luzardo, Ximena Puig, Rene Ten Bolscher and Kieran Scannell for wins at last night’s 2024 Hawke’s Bay/Wairarapa Dairy Awards 👏 Alvaro and Ximena were Share Farmers of the Year, Rene won Manager of the Year, and Kieran took out the Trainee of the Year title 🏆 https://t.co/F4vQ0Xg5go",,0,0,2,
"Twitter/X","https://x.com/Fonterra/status/1764124795707470083","2024/03/03 03:05:01","Congratulations to Sarah Avery and Eric Fa’anoi for winning awards at last night’s 2024 Taranaki Dairy Industry Awards! Sarah took home the Taranaki Dairy Manager of the Year award, and Eric won the Taranaki Dairy Trainee of the Year title 👏👏 https://t.co/izEnNSxjzB",,0,0,1,
"Twitter/X","https://x.com/Fonterra/status/1763318810294255872","2024/02/29 21:42:19","A huge congrats to Luke Ackerman and Isabella Panettiere for taking home awards at last night’s 2024 Manawatū Dairy Industry Awards 👏 Luke Ackerman was awarded Manawatū Dairy Manager of the Year, and Isabella Panettiere was awarded Manawatū Dairy Trainee of the Year 🏆 https://t.co/nub7rCHJ3X",,0,0,6,
"Twitter/X","https://x.com/Fonterra/status/1763026723937915244","2024/02/29 02:21:41","Surfing for Farmers made waves this summer with its biggest season yet 🏄🌊

Numbers have soared around the country, and regions that had 20-30 surfers last season are up to 50 this season!

Read more here: https://t.co/2S2DUnbnV0 https://t.co/WsfiDbRzQc",,0,0,3,
"Twitter/X","https://x.com/Fonterra/status/1760801817972330990","2024/02/22 23:00:42","Congratulations and good luck to the Whakatōhea Māori Trust, Fonterra suppliers and finalists for the 2024 Ahuwhenua Trophy, acknowledging and celebrating excellence in Māori farming 👏 Learn more here: https://t.co/JqcQ3CINhI",,0,0,4,
"Twitter/X","https://x.com/Fonterra/status/1757614638458618356","2024/02/14 03:55:59","@dairymanNZ Our favourite kind of love story🧀❤️",,0,0,1,
"Twitter/X","https://x.com/Fonterra/status/1757610664212713494","2024/02/14 03:40:11","""In 1987 I met Dennis, on the site’s casein floor, and the rest is history!"" 🧀💘

This Valentine's Day, Chrissie &amp; Dennis Phillips share their love story which all started at our Tīrau site. 

Follow the link to read the full story: https://t.co/dYdR7bymbW https://t.co/Y9jnDpZgDe",,1,0,1,
"Twitter/X","https://x.com/Fonterra/status/1756876579093782972","2024/02/12 03:03:12","We're pumped to be returning to Southern, Northern, and Central Districts Field Days this year! 🚜 Follow the link to see the activities we'll have at our site: https://t.co/1OrXQaD37s See you there! 👋 https://t.co/rtDPeJbjqN",,0,0,2,
"Twitter/X","https://x.com/Fonterra/status/1756763955031339230","2024/02/11 19:35:40","Today we increased our 2023/24 season forecast Farmgate Milk Price, with the midpoint lifting by 30 cents to $7.80per kgMS, up from $7.50 per kgMS. Read more here: https://t.co/pXlU4m2c3I",,0,7,20,
"Twitter/X","https://x.com/Fonterra/status/1752528098522702066","2024/01/31 03:03:53","@jbtafn Hi Jonny. Can you please DM us with your best contact details as well as when this took place? ^MC",,0,0,0,
"Twitter/X","https://x.com/Fonterra/status/1750332272082145469","2024/01/25 01:38:27","⚡ We’re delighted to announce we’ll be installing our first electrode boiler at our Edendale site which will reduce the site’s emissions by around 20% or 47,500 tonnes of CO2e per annum - the equivalent of taking almost 20,000 cars off New Zealand roads. https://t.co/QZdYak9moB https://t.co/Ka8mXHIOax",,1,5,21,
"Twitter/X","https://x.com/Fonterra/status/1741964970684731691","2024/01/01 23:29:47","A huge shout out to farmers and our people doing the māhi throughout the break 👏 To everyone in our local communities, we hope you have a wonderful Summer ☀️ https://t.co/YOggkKSIJc",,1,0,3,
"Twitter/X","https://x.com/Fonterra/status/1737714582276264395","2023/12/21 06:00:16","Mike Borrie, Farm Source Regional Manager, has a Christmas wish that everyone in our rural communities has someone to lean on when things get tough 🎄 Follow the link to learn more about our partnership with Rural Support Trust: https://t.co/oZHOE4LBBB https://t.co/jLywKipgpV",,0,0,4,
"Twitter/X","https://x.com/Fonterra/status/1737244702972444835","2023/12/19 22:53:08","Our Waitoa manufacturing site is now using around 50% less coal as its new wood biomass boiler swings into action. This will reduce the site’s annual emissions by at least 48,000 tonnes of CO2e, the equivalent of taking 20,000 cars off NZ roads. https://t.co/8BtB9oZClU https://t.co/E7RZMhTy1D",,0,0,3,
"Twitter/X","https://x.com/Fonterra/status/1736841993882390569","2023/12/18 20:12:54","Rosy Herstell, Senior Relationship Manager, has a Christmas wish to see all kiwi kids have a full puku every day, to help KickStart their day 😋 Follow the link to learn more about the KickStart Breakfast programme in partnership with MSD and Sanitarium: https://t.co/4t2LYn1nz6 https://t.co/TS296N9t9H",,0,0,1,
"Twitter/X","https://x.com/Fonterra/status/1735177892106063921","2023/12/14 06:00:22","This Christmas, Troy Gullery, Site Manager at Takaanini, is wishing for our future generation to embrace the importance of kaitiakitanga 🍃 Follow the link to learn more about the Fonterra Hapori programme and our partnership with Trees for Survival: https://t.co/Kms0ltBh45 https://t.co/jmgnMu90Gf",,0,1,3,
"Twitter/X","https://x.com/Fonterra/status/1735066070166474953","2023/12/13 22:36:01","It’s been one year since we announced our partnership with Nestlé, designed to help reduce on-farm emissions. Today, we’re pleased to share a new element to it that will see Fonterra farmers recognised for producing more sustainable milk. https://t.co/R6OgayrZlY https://t.co/n23gnAyfKE",,3,0,8,
"Twitter/X","https://x.com/Fonterra/status/1734090725040476247","2023/12/11 06:00:21","Amavi Mey, Community Engagement Manager, is wishing to deliver nutritious kai to NZ families this Christmas 👨‍👩‍👦 Follow the link to learn more about our partnership with New Zealand Food Network and Meat The Need: https://t.co/bExo1t0vqh https://t.co/AYOasvjkPu",,0,0,0,
"Twitter/X","https://x.com/Fonterra/status/1732485177782530559","2023/12/06 19:40:29","Today we lifted our forecast Farmgate Milk Price midpoint by 25 cents to $7.50 per kgMS, and lifted our forecast earnings range by 5 cents to 50-65 cents per share, after a strong start to FY24. https://t.co/jo6wV03k7l",,1,2,36,
"Twitter/X","https://x.com/Fonterra/status/1730309601416114312","2023/11/30 19:35:31","After seven years as an Independent Director on Fonterra’s Board, Scott St John will step down on 31 March 2024 in consideration of his workload and increase in governance commitments. https://t.co/opeeIkJVMq",,3,0,1,
"Twitter/X","https://x.com/Fonterra/status/1729990072135795192","2023/11/29 22:25:49","Entries for the 2024 NZ Dairy Industry Awards are open and the search begins for this year's recipient of the Fonterra Responsible Dairying Award 🏆

The award recognises leadership in farming practices and incorporating all aspects of sustainability. https://t.co/VUxkzoJV4G",,0,1,1,
"Twitter/X","https://x.com/Fonterra/status/1722369795495219673","2023/11/08 21:45:33","Today we released our climate roadmap with new targets that will see us further reduce the emissions profile of our products. *The targets will be assessed against a 2018 baseline. Read more: https://t.co/LrJ76uQX2d https://t.co/CCzyzmY4JJ",,2,3,15,
"Twitter/X","https://x.com/Fonterra/status/1719525076872364424","2023/11/01 01:21:40","Today we've announced that the sale of Fonterra and Nestlé's Dairy Partners Americas (DPA) Brazil joint venture is complete. More here: https://t.co/6Aw6QfLh5G",,0,1,5,
"Twitter/X","https://x.com/Fonterra/status/1711103035152470150","2023/10/08 19:35:28","Today we raised the 2023/24 season forecast Farmgate Milk Price range to $6.50-$8.00 per kgMS, with a new midpoint of $7.25 per kgMS, up 50 cents. The improved outlook reflects both supply and demand dynamics. Read more here: https://t.co/gIWzQ14GRc",,1,10,49,
"Twitter/X","https://x.com/Fonterra/status/1709387847382233223","2023/10/04 01:59:56","@ErelyesNZ Hi there! Our cheese bar is open Tuesday -Friday 10.30am- 2.30pm 🙂 ^MM",,0,0,0,
"Twitter/X","https://x.com/Fonterra/status/1709003640529392012","2023/10/03 00:33:14","We're taking another step in leveraging our expertise in probiotics by partnering with @APCMicrobiome that is focused on harnessing the power of the microbiome for the health &amp; wellbeing of people and the planet. https://t.co/eGOzmjXI99",,0,0,3,
"Twitter/X","https://x.com/Fonterra/status/1707571081731887489","2023/09/29 01:40:45","Happy 100th birthday Edgecumbe!🎂 

A couple of weeks back, farmers, employees (past and present), and the community came together to celebrate the huge milestone. Congratulations to past and present employees, and the regions farmers.  

See more here: https://t.co/Jvsd1pwViY https://t.co/MKIGnORFYe",,0,1,7,
"Twitter/X","https://x.com/Fonterra/status/1704595076020912196","2023/09/20 20:35:10","Today we announced our results for FY23, with full year reported earnings of 95 cents per share, reported profit after tax of $1.6 billion and a final 2022/23 season Farmgate Milk Price of $8.22 per kgMS. Read more: https://t.co/d0iR9y2VdS https://t.co/4JNHxOjoUq",,4,8,27,
"Twitter/X","https://x.com/Fonterra/status/1704265961409294584","2023/09/19 22:47:23","Today highlights being active for Mental Heath Awareness Week. Getting active in nature is a proven method of improving mental health &amp; that’s how Surfing for Farmers was started, to give farmers an outlet away from the pressures of work. Learn more here: https://t.co/uWexd7Tp3h https://t.co/fEcTYMuF5a",,0,3,5,
"Twitter/X","https://x.com/Fonterra/status/1692273739222901134","2023/08/17 20:34:35","Today we reduced our 2023/24 season forecast Farmgate Milk Price range from $6.25-$7.75 per kgMS to $6.00-$7.50 per kgMS. Global Dairy Trade prices have continued to fall since we revised our Farmgate Milk Price earlier this month. https://t.co/9w6geaMA5J",,8,10,17,
"Twitter/X","https://x.com/Fonterra/status/1691564692051759128","2023/08/15 21:37:04","In partnership with Rural Support Trust, we’re working together to support mental health and wellbeing in rural communities for those doing it tough. Follow the link to learn more: https://t.co/2MkckeTW7J https://t.co/0uDv7Dv4Sh",,0,1,7,
"Twitter/X","https://x.com/Fonterra/status/1689736747935215616","2023/08/10 20:33:29","Today we provided an update on our forecast normalised earnings for FY23. We expect to end the year at the top end of our forecast range of 64-80 cents per share and pay a full year dividend at the top end of our dividend policy. https://t.co/Nye1zjid0X",,0,1,2,
"Twitter/X","https://x.com/Fonterra/status/1687200427027353601","2023/08/03 20:35:03","Today we reduced our 23/24 season forecast Farmgate Milk Price range from $7.25-$8.75 per kgMS to $6.25-$7.75. The revised range reflects ongoing reduced import demand for whole milk powder from Greater China. Read more: https://t.co/3W1MCX7NrY",,2,3,5,
"Twitter/X","https://x.com/Fonterra/status/1684377511835340800","2023/07/27 01:37:47","@WebTaniwha @lgnz 🙏☕️",,0,0,1,
"Twitter/X","https://x.com/Fonterra/status/1683696138602577920","2023/07/25 04:30:15","@dckInNZ Good question - all our fresh milks are exactly that, fresh! We don’t make them from milk powder as it wouldn’t taste as fresh or be energy efficient. Read more here: https://t.co/MWmQv35OEk",,0,0,1,
"Twitter/X","https://x.com/Fonterra/status/1681750328323239936","2023/07/19 19:38:18","Today we announced a lift in our decarbonisation ambition with a new Scope 1&amp;2 emissions reduction target which will be achieved by bringing forward some of our work to get out of coal. Read more: https://t.co/Q6SfZmnIXR",,0,1,3,
"Twitter/X","https://x.com/Fonterra/status/1680758580843282432","2023/07/17 01:57:27","For truck-obsessed Oliver, his mum put out a Facebook post offering $50 to any truck driver who could take him for a ride on his 8th birthday to make him smile given he was feeling a bit lonely. To their surprise, a convoy of more than 60 trucks turned up. https://t.co/GILXkFqWWT",,0,3,16,
"Twitter/X","https://x.com/Fonterra/status/1678184759292223489","2023/07/09 23:30:00","Massive congratulations to Waikato and Fonterra farmer Emma Poole, winner of the 2023 FMG Young Farmer of the Year title. In its 55th year Emma is the first-ever female champion, saying ""we've finally knocked the grass ceiling off the roof.” https://t.co/Ji2RHI0EAd https://t.co/5RgPurYnmH",,0,0,16,
"Twitter/X","https://x.com/Fonterra/status/1676052402838052865","2023/07/04 02:16:47","A couple of weeks ago, our manufacturing sites across NZ came together at the annual Best Site Cup awards. Following virtual events over previous years, it was wonderful to present 21 awards and celebrate their successes in-person. Read more: https://t.co/BcylHqGCSR",,0,0,5,
"Twitter/X","https://x.com/Fonterra/status/1674648334479523840","2023/06/30 05:17:31","Early this morning in China, the Prime Minister of New Zealand, Chris Hipkins, got to see just how fresh tea with cheese rosette is made during his visit to our application centre in Shanghai. https://t.co/UinBVigNWz",,0,2,17,
"Twitter/X","https://x.com/Fonterra/status/1674191985895428097","2023/06/28 23:04:09","Fonterra Chief Innovation &amp; Brand Officer and Nutrition Science Solutions Board Member, Komal Mistry-Mehta, spoke with Global Venturing about our Co-op's newly announced corporate ventures arm that is looking to create value in the nutrition science space.",,0,0,3,
"Twitter/X","https://x.com/Fonterra/status/1671262620911894533","2023/06/20 21:03:54","@mia_m_i Hi there. Could you please DM us with more info and your contact details so we can look into this for you? ^MC",,0,0,0,
"Twitter/X","https://x.com/Fonterra/status/1669475019028828160","2023/06/15 22:40:36","Our CEO, Miles Hurrell was joined at Fieldays by New Zealand Prime Minister, Chris Hipkins and Agriculture Minister, Damien O’Connor to announce the new trading name of the Centre for Climate Action Joint Venture and its latest investment. https://t.co/rEhewKbRCq",,0,0,6,
"Twitter/X","https://x.com/Fonterra/status/1668472254458650624","2023/06/13 04:15:58","North Canterbury farmer, John Faulkner, is restoring the biodiversity on his riverside property by creating a diverse mahinga kai - Māori food gathering site – and plans to share it with the local community. https://t.co/fgplXdtFQ3",,0,0,2,
"Twitter/X","https://x.com/Fonterra/status/1668435527379615744","2023/06/13 01:50:02","It’s almost time! Here’s your first look at our @FieldaysNZ marquee 👨‍🌾🚜

Find us on the corner of K Road &amp; F Street, we’ll see you there! 👋 https://t.co/XeeZ0SbPsb",,1,0,10,
"Twitter/X","https://x.com/Fonterra/status/1666963798065020929","2023/06/09 00:21:54","Today we announced a new corporate ventures arm to incubate, scale &amp; invest in ventures in the nutrition science space. Provisionally named Nutrition Science Solutions, it will operate as a standalone business within Fonterra with its own board &amp; CEO. https://t.co/TadUU6cNBf",,0,0,11,
"Twitter/X","https://x.com/Fonterra/status/1666894137549889536","2023/06/08 19:45:06","Strike a pose to be in to win with us at Fieldays! 📸 Jump in the photo booth at our marquee and share your photo to be in to win a Ninebot ES4 Kick E-Scooter 🛴 Read the full T&amp;Cs here: https://t.co/oq117niKtJ #fieldays #fieldays2023 https://t.co/gzFgXPnBNz",,2,0,2,
"Twitter/X","https://x.com/Fonterra/status/1665928739111272449","2023/06/06 03:48:57","With just over a week to go, get a sneak-peek of what to expect at our Fieldays marquee this year! 👀 Follow the link to see a full list of what’s on, as well as info on how to find us: https://t.co/B0beg54ciT 🚜 #fieldays #fieldays2023 @FieldaysNZ https://t.co/v0X1qjfz5O",,1,1,9,
"Twitter/X","https://x.com/Fonterra/status/1664029038657040384","2023/05/31 22:00:13","Happy World Milk Day! 🥛 We’re proud to celebrate our nutritious world-class milk 🐄🌿☀️ #WorldMilkDay #EnjoyDairy #ProudToBeDairy! https://t.co/Np5wIWrIq8",,1,7,19,
"Twitter/X","https://x.com/Fonterra/status/1664008011663409152","2023/05/31 20:36:40","Today we announced Anna Palairet as acting COO to replace Fraser Whineray who is leaving the Co-op next month. Anna joined Fonterra in October 2022 and has extensive experience across operations, customer &amp; safety. Learn more here: https://t.co/A1Z06rVawD",,1,0,9,
"Twitter/X","https://x.com/Fonterra/status/1661530033788428288","2023/05/25 00:30:04","Today we’re providing an update on our Farmgate Milk Price, FY23 earnings guidance, and bringing forward the capital return payment date. Read more here: https://t.co/JIt46qxT9s https://t.co/j5LtcVYyrd",,1,0,9,
"Twitter/X","https://x.com/Fonterra/status/1657855167264624640","2023/05/14 21:07:27","Congratulations to Oxford farmer, Cameron Henderson, winner of the 2023 Fonterra Responsible Dairying Award and recipient of the John Wilson Memorial Trophy 👏 The award recognises dairy farmers who demonstrate leadership in their approach to sustainability. https://t.co/Y2NKwxFkbk",,0,1,12,
"Twitter/X","https://x.com/Fonterra/status/1657534699873652736","2023/05/13 23:54:02","Congrats to the Co-op farmers who won 2023 NZ Dairy Industry national awards last night. Taranaki’s Hayden &amp; Bridget Goble (NZ Share Farmer of the Year), Canterbury/North Otago’s Jack Symes (NZ Manager of the Year) and Northland’s Bill Hamilton (NZ Trainee of the Year).",,0,1,14,
"Twitter/X","https://x.com/Fonterra/status/1656132489822507009","2023/05/10 03:02:09","“I got hooked on it. The lifestyle, the job, the cows. Every morning I wake up feeling excited to go to work.” – Meet Farm Manager, Chihiro Hanyuda, who's up for one of the major titles at this weekend’s NZ Dairy Industry National Awards. https://t.co/76CV8l4AZK",,0,1,4,
"Twitter/X","https://x.com/Fonterra/status/1654343207755608065","2023/05/05 04:32:11","@dairymanNZ Kāpiti’s Kahurangi Blue cheese won the New World People’s Choice Award last night at the annual NZ Champion of Cheese Awards 🏆 But it didn’t stop there for our teams, see the seven further trophies Fonterra Brands took home here: https://t.co/rqt2fSrX3v",,0,0,4,
